url,action,destination_url,reason_codes,confidence,equity_at_risk
/d/291-como-blanquee-mis-dientes-mejor-que-un-dentista-fotos,REMOVE_URGENT,/t/softmaxing,4.5-sourcing-controlled-substance,high,0-prelaunch-noGSC
/d/294-guia-de-magic-mushroom-maxxing-como-matar-la-inhibicion-y-la-depresion,REWRITE,,4.5-dosing-strip+4.7-translation,med,0-prelaunch-noGSC
/d/334-como-ducharte-a-fondo-guia-a-profundidad-especial-1k,REWRITE,,4.7-translation,high,0-prelaunch-noGSC
/d/350-guia-de-la-zona-de-los-ojos,REWRITE,,4.7-translation,high,0-prelaunch-noGSC
/d/785-sexmaxing-tragate-la-sexpill-como-convertirte-en-un-dios-del-sexo-y-hacer-que-las-chicas-se-vuelvan-adictas-a-ti,REWRITE,,4.5-dosing-strip+4.7-translation,med,0-prelaunch-noGSC
/d/787-la-guia-definitiva-para-heightmaxxing-incluye-metodo-para-oldcels-con-placas-cerradas,REWRITE,,4.5-dosing-strip+4.7-translation,med,0-prelaunch-noGSC
/d/789-hoodingmaxxingctmaxxing-101,REWRITE,,4.7-translation,high,0-prelaunch-noGSC
/d/795-sex-appeal-maxxing-guia-oficial,REWRITE,,4.5-dosing-strip+4.7-translation,med,0-prelaunch-noGSC
/d/824-aparatos-para-ensanchar-la-boca,REWRITE,,4.7-translation,high,0-prelaunch-noGSC
/d/865-guia-de-eyebrowmaxxing,CONSOLIDATE,/d/33106-guia-de-eyebrowmaxxing,4.6-duplicate,high,0-prelaunch-noGSC
/d/868-la-guia-definitiva-de-framemaxxing-framecel-andate-o-pudrete-para-siempre,REWRITE,,4.7-translation,high,0-prelaunch-noGSC
/d/874-testosteronemaxxing-natural,REMOVE_URGENT,/t/anabolicos,4.5-safety,high,0-prelaunch-noGSC
/d/875-el-megahilo-de-la-masticacion,REWRITE,,4.5-dosing-strip+4.7-translation,med,0-prelaunch-noGSC
/d/891-todas-tus-preguntas-respondidas-maxima-atractabilidad,REWRITE,,4.5-dosing-strip+4.7-translation,med,0-prelaunch-noGSC
/d/897-guia-de-heightmaxxing-looksmaxing-este-stack-secreto-rival-hgh-de-grado-farmaceutico,REMOVE_URGENT,/t/peptides,4.5-sourcing-controlled-substance,high,0-prelaunch-noGSC
/d/900-collagen-maxxing-la-guia-basada-en-evidencia,KEEP,,4.6-canonical-winner,high,0-prelaunch-noGSC
/d/918-guia-de-looksmaxxing-por-fenotipo-el-fundamental-olvidado-del-looksmax,REMOVE_URGENT,/t/looksmaxing,4.5-sourcing-controlled-substance,high,0-prelaunch-noGSC
/d/923-los-alimentos-mas-nutritivos-para-comer-si-andas-corto-de-dinero,REWRITE,,4.5-dosing-strip+4.7-translation,med,0-prelaunch-noGSC
/d/956-la-mejor-guia-sobre-como-usar-cavitacion-ultrasonica-para-mejillas-hundidas-videos-y-fotos-incluidos-instrucciones-detalladas,REWRITE,,4.7-translation,high,0-prelaunch-noGSC
/d/1010-guia-de-ensanchamiento-bucal,REWRITE,,4.7-translation,high,0-prelaunch-noGSC
/d/1044-guia-la-solucion-a-la-caida-del-cabello-para-cualquiera-que-este-perdiendo-su-cabello,REWRITE,,4.7-translation,high,0-prelaunch-noGSC
/d/1068-como-frenar-y-revertir-el-proceso-de-envejecimiento,REMOVE_URGENT,/t/softmaxing,4.5-sourcing-controlled-substance,high,0-prelaunch-noGSC
/d/1072-mi-stack-de-longevidad-basado-en-ciencia-para-extender-tu-prime,REWRITE,,4.5-dosing-strip+4.7-translation,med,0-prelaunch-noGSC
/d/1093-las-cejas-gruesas-son-un-meme,REWRITE,,4.7-translation,high,0-prelaunch-noGSC
/d/1106-el-ciclo-de-randle-posible-respuesta-a-problemas-hormonales-problemas-de-piel-problemas-de-animo,REMOVE_URGENT,/t/looksmaxing,4.5-sourcing-controlled-substance,high,0-prelaunch-noGSC
/d/1129-mi-guia-de-expansion-maxilar-mediante-softmaxxing-depthcels-gtfih,REWRITE,,4.7-translation,high,0-prelaunch-noGSC
/d/1131-como-construir-hueso-facial-guia-sobre-el-crecimiento-craneofacial-hacia-adelante-y-la-remodelacion-osea-mi-hipotesis,REMOVE_URGENT,/t/hardmaxing,4.5-sourcing-controlled-substance,high,0-prelaunch-noGSC
/d/1132-guia-de-geomaxxing-en-mena-parte-1-madztn-marruecos-argelia-tunez,REWRITE,,4.7-translation,high,0-prelaunch-noGSC
/d/1133-la-proyeccion-del-maxilar-superior-es-la-clave-de-la-estetica,REWRITE,,4.7-translation,high,0-prelaunch-noGSC
/d/1147-maximizando-el-tamano-del-pito,REWRITE,,4.5-dosing-strip+4.7-translation,med,0-prelaunch-noGSC
/d/1158-drogas-prosociales-una-guia-para-usar-sustancias-para-subir-la-escalera-social,REWRITE,,4.7-translation,high,0-prelaunch-noGSC
/d/1173-como-logre-un-fisico-chad-de-forma-natural-mi-rutina-de-ejercicio-detallada,REWRITE,,4.5-dosing-strip+4.7-translation,med,0-prelaunch-noGSC
/d/1182-reduccion-del-tamano-de-la-nariz-via-softmaxing-o-por-que-quiza-no-necesites-una-rino,REWRITE,,4.7-translation,high,0-prelaunch-noGSC
/d/1185-como-hacer-un-aparato-face-puller-para-el-face-puller-o-face-bow-de-at-copeandrope,REMOVE_URGENT,/t/hardmaxing,4.5-sourcing-controlled-substance,high,0-prelaunch-noGSC
/d/1191-guia-completa-de-la-dieta-primal,REWRITE,,4.7-translation,high,0-prelaunch-noGSC
/d/1194-como-blanquear-tu-piel-la-guia-oficial-la-verdad-sobre-el-blanqueamiento-de-piel,REWRITE,,4.7-translation,high,0-prelaunch-noGSC
/d/1209-guia-para-lograr-piel-de-nivel-modelo,REWRITE,,4.7-translation,high,0-prelaunch-noGSC
/d/1226-guia-cientifica-completa-de-whitemaxxing-para-quitar-el-bronceado-y-aclararblanquear-la-piel-para-curriesblackies-toda-la-informacion-vital-que-necesitas,REWRITE,,4.5-dosing-strip+4.7-translation,med,0-prelaunch-noGSC
/d/1232-la-biblia-de-los-pomulos-hundidos-y-la-curva-ogee-deshinchate-y-consigue-la-cara-mas-delgada-del-mundo-con-esta-guia-completa-de-estetica-craneofacial,REWRITE,,4.7-translation,high,0-prelaunch-noGSC
/d/1256-introduccion-al-mayor-heightmaxx-jamas-descubierto-regeneracion-de-placas-de-crecimiento-mediante-factores-de-crecimiento-y-mscs,REWRITE,,4.5-DIY-reframe+4.7-translation,med,0-prelaunch-noGSC
/d/1262-guia-definitiva-para-conseguir-mujeres-en-instagram,REWRITE,,4.7-translation,high,0-prelaunch-noGSC
/d/1267-como-alcanzar-6-placas-abiertas-o-no-microfracturacion-descompresion-crecimiento-natural-y-drogas,REWRITE,,4.5-dosing-strip+4.7-translation,med,0-prelaunch-noGSC
/d/1272-la-guia-definitiva-de-fragancias-y-feromonas,REMOVE_URGENT,/t/softmaxing,4.5-sourcing-controlled-substance,high,0-prelaunch-noGSC
/d/1281-lipovela-el-disolvente-de-grasa-todo-en-uno-moga-aqualyx-uc-es-mas-barato-que-ambos,REWRITE,,4.7-translation,high,0-prelaunch-noGSC
/d/1288-la-biblia-del-sleepmaxxing-entiende-por-que-y-como-tener-el-mejor-descanso-nocturno-profundo-posible-con-esta-megaguia-de-sueno-llena-de-valor,REWRITE,,4.5-dosing-strip+4.7-translation,med,0-prelaunch-noGSC
/d/1293-como-salir-de-la-subhumanidad-por-klinefelter,REWRITE,,4.7-translation,high,0-prelaunch-noGSC
/d/1298-guia-para-entender-comportamientos-percibidos-en-caras-heroicosegurobueno-vs-villanomisteriosomalo,REWRITE,,4.7-translation,high,0-prelaunch-noGSC
/d/1323-la-guia-mas-avanzada-de-facepulling-me-tomo-1-ano-perfeccionarla-f1-facepulling,REWRITE,,4.7-translation,high,0-prelaunch-noGSC
/d/1328-avance-de-cuero-cabelludo-la-unica-solucion-para-una-frente-grande,REWRITE,,4.7-translation,high,0-prelaunch-noGSC
/d/1331-la-guia-suprema-para-lipmaxing,REWRITE,,4.7-translation,high,0-prelaunch-noGSC
/d/1333-elevando-el-hueso-hioides,REWRITE,,4.7-translation,high,0-prelaunch-noGSC
/d/1343-guia-definitiva-para-maximizar-status,REWRITE,,4.7-translation,high,0-prelaunch-noGSC
/d/1362-extracciones-dentales-por-que-deberias-evitarlas-con-datos-presentados,REWRITE,,4.7-translation,high,0-prelaunch-noGSC
/d/1363-crecimiento-anterior-101,REWRITE,,4.7-translation,high,0-prelaunch-noGSC
/d/1370-guia-definitiva-sobre-carbohidratos-ciclo-de-randle-calorias-peso-y-ciencia-nutricional-por-que-los-humanos-son-carnivoros-hipercarnivoros-obligados-alto-qi,REWRITE,,4.5-dosing-strip+4.7-translation,med,0-prelaunch-noGSC
/d/1373-no-pierdas-tiempo-promoviendo-el-crecimiento-craniofacial-contra-reloj-en-la-adolescencia-tardia-tecnicas-naturales-y-evidencia-notas-laterales,REMOVE_URGENT,/t/softmaxing,4.5-sourcing-controlled-substance,high,0-prelaunch-noGSC
/d/1387-consejo-sobre-sarms-de-un-coach-con-5-anos-de-experiencia,REWRITE,,4.5-dosing-strip+4.7-translation,med,0-prelaunch-noGSC
/d/1395-como-ligar-siendo-adolescente-guia-de-instagram-maxxing,REWRITE,,4.5-dosing-strip+4.7-translation,med,0-prelaunch-noGSC
/d/1398-guia-de-looksmaxxing-de-cabello-cabello-bueno-equivale-a-vida-buena,REMOVE_URGENT,/t/softmaxing,4.5-sourcing-controlled-substance,high,0-prelaunch-noGSC
/d/1413-guia-completa-sobre-como-creci-25-pulgadas-en-3-4-mesesspinecels-y-torsocels-gtfih,REWRITE,,4.5-dosing-strip+4.7-translation,med,0-prelaunch-noGSC
/d/1414-guia-de-aumento-de-altura-la-mejor-guia-sobre-como-crecer-mas-alto-en-internet-remasterizada,REWRITE,,4.5-dosing-strip+4.7-translation,med,0-prelaunch-noGSC
/d/1423-como-blanqueo-mi-piel,REWRITE,,4.7-translation,high,0-prelaunch-noGSC
/d/1426-por-que-los-culturistas-tienen-mandibulas-tan-grandes-sin-siquiera-entrenarla-y-por-que-tu-tambien-puedes-hacer-crecer-tu-mandibula-como-ellos,REWRITE,,4.5-dosing-strip+4.7-translation,med,0-prelaunch-noGSC
/d/1431-la-radiologia-detras-del-desarrollo-facial-e-indicadores-del-crecimiento-corporal-como-saber-si-aun-estas-creciendo,REWRITE,,4.7-translation,high,0-prelaunch-noGSC
/d/1434-la-guia-definitiva-para-encontrar-foids-nd-y-armar-tu-roster-para-todos-los-rankingsratings,REWRITE,,4.7-translation,high,0-prelaunch-noGSC
/d/1436-guia-definitiva-androgenmax-estrogenmin,REWRITE,,4.5-dosing-strip+4.7-translation,med,0-prelaunch-noGSC
/d/1448-disolvi-mi-grasa-facial-una-introduccion-a-lemonbottle,REMOVE_URGENT,/t/looksmaxing,4.5-sourcing-controlled-substance,high,0-prelaunch-noGSC
/d/1454-filtrando-el-metodo-og-de-debloat-100-cualquier-bf,REWRITE,,4.7-translation,high,0-prelaunch-noGSC
/d/1461-megahilo-neuromaxxing,REWRITE,,4.7-translation,high,0-prelaunch-noGSC
/d/1466-joven-de-18-anos-mtn-guia-de-mi-plan-de-ascension,REWRITE,,4.7-translation,high,0-prelaunch-noGSC
/d/1476-pelo-ser-guapo-es-como-el-70-de-tu-attractiveness-hacia-las-mujeres-prime-mi-experiencia-del-ultimo-ano-wfotos-clave-mayor-de-ascension-para-los-negros,REWRITE,,4.7-translation,high,0-prelaunch-noGSC
/d/1482-guia-de-mewing-detallada,REWRITE,,4.7-translation,high,0-prelaunch-noGSC
/d/1486-osteotomia-le-fort-iii,REWRITE,,4.7-translation,high,0-prelaunch-noGSC
/d/1492-cambio-de-color-de-ojos-softmax-legitimo-gtfih,REWRITE,,4.7-translation,high,0-prelaunch-noGSC
/d/1498-mega-thread-de-disolucion-de-grasa,REMOVE_URGENT,/t/looksmaxing,4.5-sourcing-controlled-substance,high,0-prelaunch-noGSC
/d/1507-guia-looksmaxxing-anti-envejecimiento-permanecer-un-chad-para-siempre,REWRITE,,4.7-translation,high,0-prelaunch-noGSC
/d/1511-como-conseguir-tu-fisico-sonado-sin-efectos-secundarios,REMOVE_URGENT,/t/peptides,4.5-sourcing-controlled-substance,high,0-prelaunch-noGSC
